Ici, on parle japonais.         Japanese is spoken here.
On ne devrait pas se comporter ainsi.       One should not behave this way.
On va au cinéma ce soir? (familiar)         Shall we go to the movies tonight?
En Espagne, on mange des tapas.         In Spain, they eat tapas.
On est tous d’accord. (familiar)        We all agree.

1. We refuse the invitation.        Nous refusons l'invitation.
2. She cancels the trip.            Elle annule le voyage
3. He speaks French.                il parle français
4. You bring some flowers. (formal)            Vous apportez des fleurs.
5. I cut the bread.                     Je coupe le pain.
6. They are having lunch with Julie.        Ils mangeons déjuner avec julie
7. He borrows ten euros.            Il emprunte dix euros.
8. I order a dessert.       Je commande une dessert.
9. You study Russian. (informal)            Tu étudie russian
10. They are looking for a good restaurant.     Ils cherchent une bonne restaurante
