
ateliers , workshop
détente , relaxation
enregistrement , recording
épeler , to spell
ecrivez la fiche , write the file
affiche , poster
échauffement , warming up
fonctionnement , operation
entraînement , training
renseignement , piece of information
l'intrus , odd man out
trouvez l'intrus , find the intruder
démarche , steps
feuille , sheet/leaf/paper
mot mêlés , word confused
@ , arobase
. , point
"dash" , tiret
relevez les expressions , note the expressions

rencontrer,meet people
coordonnées , contact info
serre la main , shake hands
sigle , acronym
bande dessinée , comic
entrée en matière , introduction

se déplacer , move
les voies  , the path
les lieux , places
quartier , district
la mairie , the town hall
les voies , the paths
carrefour , crossroads
le fleuve , the river
le quai , platform
quais , docks
sympas , nice

c'est parti  , lets go
incontournables  , unavoidable
rabat de la couverture , cover flap
trouvez l'intrus , clearance sale

ça sera tout , that will be all
